ID,Title,Keywords,Article type,Issue type,Volume,Issue,Authors,Author institutions,Author cities,Author countries,Jucs level 1 topics,Jucs level 2 topics,Jucs level 3 topics
018-01-0001,Outcomes of International Research Projects on Technology Applied to Education,[],Editorial,special,18.0,1.0,"['Francisco J. García-Peñalvo', 'Ricardo Colomo-Palacios', 'Miltiadis D. Lytras']","['University of Salamanca', 'Universidad Carlos III de Madrid', 'The American College of Greece']","['Salamanca', 'Madrid', 'Gerakas']","['Spain', 'Spain', 'Greece']",[],[],[]
018-01-0005,Exploiting Semantics for Constructing and Comparing Occupational and Educational-driven Qualifications: the TIPTOE Project,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",Research Article,special,18.0,1.0,"['Valentina Gatteschi', 'Fabrizio Lamberti', 'Claudio Demartini', 'Rob van Wezel', 'Simonetta Bettiol']","['Politecnico di Torino', 'Politecnico di Torino', 'Politecnico di Torino', 'KCH International', 'Ufficio Scolastico Regionale per il Veneto']","['Torino', 'Torino', 'Torino', 'Ede', 'Venezia']","['Italy', 'Italy', 'Italy', 'The Netherlands', 'Italy']",['computing methodologies'],['artificial intelligence'],"['knowledge representation formalisms and methods', 'applications and expert systems']"
018-01-0025,"CC-LO: Embedding Interactivity, Challenge and Empowerment into Collaborative Learning Sessions","['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",Research Article,special,18.0,1.0,"['Santi Caballe', 'David Ganan', 'Ian Dunwell', 'Anna Pierri', 'Thanasis Daradoumis']","['Open University of Catalonia', 'Open University of Catalonia', 'Coventry University', 'Modelli Matematici e Applicazioni (MoMA, SpA)', 'University of the Aegean']","['Barcelona', 'Barcelona', 'Coventry', 'Baronissi', 'Mytilene']","['Spain', 'Spain', 'United Kingdom', 'Italy', 'Greece']","['science and technology of learning', 'computing milieux']","['computers and education', 'knowledge and media', 'methodology/tools/technology']","['technology enhanced learning ', 'elearning systems/technology/tools/platforms  ', 'computer uses in education', 'learning objects ']"
018-01-0044,Educational Innovation with Learning Networks: Tools and Developments,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",Research Article,special,18.0,1.0,"['Peter B. Sloep', 'Adriana J. Berlanga', 'Wolfgang Greller', 'Slavi Stoyanov', 'Marcel van der Klink', 'Symeon Retalis', 'Jan Hensgens']","['Open Universiteit Nederland', 'Open Universiteit Nederland', 'Open Universiteit Nederland', 'Open Universiteit Nederland', 'Open Universiteit Nederland', 'University of Piraeus', 'Aurus KTS']","['Heerlen', 'Heerlen', 'Heerlen', 'Heerlen', 'Heerlen', 'Piraeus', 'Maastricht']","['The Netherlands', 'The Netherlands', 'The Netherlands', 'The Netherlands', 'The Netherlands', 'Greece', 'The Netherlands']","['information systems', 'computing milieux', 'computing methodologies', 'science and technology of learning']","['artificial intelligence', 'computers and education', 'methodology/tools/technology', 'learning', 'information interfaces and presentation (e.g., hci)']","['multimedia information systems', 'general', 'user interfaces', 'natural language processing', 'computer uses in education']"
018-01-0062,Accessible Lifelong Learning at Higher Education: Outcomes and Lessons Learned at two Different Pilot Sites in the EU4ALL Project,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",Research Article,special,18.0,1.0,"['Jesus G. Boticario', 'Alejandro Rodriguez-Ascaso', 'Olga C. Santos', 'Emmanuelle Raffenne', 'Lydia Montandon', 'David Roldán', 'Félix Buendía']","['aDeNu Research Group', 'aDeNu Research Group', 'aDeNu Research Group', 'Madrid', 'Atos GIBS (Global Innovation and Business Strategy)', 'Universidad Politécnica de Valencia', 'Universidad Politécnica de Valencia']","['Madrid', 'Madrid', 'Madrid', 'Madrid', 'Madrid', 'Madrid', 'Madrid']","['Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain']","['information systems', 'computer applications']","['information systems applications', 'models and principles', 'computers in other systems', 'information storage and retrieval', 'information interfaces and presentation (e.g., hci)']","['hypertext/hypermedia', 'user/machine systems', 'online information services', 'types of systems', 'user interfaces']"
018-01-0086,PLAYER - a European Project and a Game to Foster Entrepreneurship Education for Young People,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",Research Article,special,18.0,1.0,"['Benjamim Fonseca', 'Leonel Morgado', 'Hugo Paredes', 'Paulo Martins', 'Ramiro Gonçalves', 'Pedro Neves', 'Ricardo Rodrigues Nunes', 'Jorge Lima', 'João Varajão', 'Ângela Pereira', 'Robert Sanders', 'Vera Barracho', 'Urban Lapajne', 'Matej Rus', 'Martin Rahe', 'Andre Mostert', 'Thorsten Klein', 'Viktorija Bojovic', 'Saša Bošnjak', 'Zita Bošnjak', 'João Carvalho', 'Isabel Duarte', 'Andreana Casaramona', 'Alberto Soraci']","['University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'University of Trás-os-Montes e Alto Douro', 'Instituto Politécnico de Leiria', 'EBN - European BIC Network', 'EBN - European BIC Network', 'University of Maribor', 'University of Maribor', 'EADA - Escuela de Alta Dirección y Administración', 'University of East London', 'University of East London', 'University of Novi Sad', 'University of Novi Sad', 'University of Novi Sad', 'CIEBI - Centro de Inovação Empresarial da Beira Interior', 'CIEBI - Centro de Inovação Empresarial da Beira Interior', 'Innova BIC - Business Innovation Centre', 'Innova BIC - Business Innovation Centre']","['Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Vila Real', 'Leiria', 'Brussels', 'Brussels', 'Maribor', 'Maribor', 'Barcelona', 'London', 'London', 'Novi Sad', 'Novi Sad', 'Novi Sad', 'Covilhã', 'Covilhã', 'Messina', 'Messina']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Belgium', 'Belgium', 'Slovenia', 'Slovenia', 'Spain', 'United Kingdom', 'United Kingdom', 'Serbia', 'Serbia', 'Serbia', 'Portugal', 'Portugal', 'Italy', 'Italy']","['computer applications', 'science and technology of learning', 'computing milieux']","['society/community ', 'computers and education', 'methodology/tools/technology', 'simulation/games', 'social and behavioral sciences']","['game based learning/gaming ', 'computer and information science education', 'computer uses in education', 'online education ', 'collaboration ']"
018-01-0106,Clustering Projects for eLearning Interoperability,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",Research Article,special,18.0,1.0,"['Marc Alier', 'Enric Mayol', 'Maria Jose Casañ', 'Jordi Piguillem', 'Jeffrey W. Merriman', 'Miguel Ángel Conde', 'Francisco J. García-Peñalvo', 'Wouter Tebben', 'Charles Severance']","['Universitat Politècnica de Catalunya - Barcelona Tech', 'Universitat Politècnica de Catalunya - Barcelona Tech', 'Universitat Politècnica de Catalunya - Barcelona Tech', 'Universitat Politècnica de Catalunya - Barcelona Tech', 'Massachusetts Institute of Technology', 'University of Salamanca', 'University of Salamanca', 'Free Knowledge Institute', 'University of Michigan']","['Barcelona', 'Barcelona', 'Barcelona', 'Barcelona', 'Cambridge', 'Salamanca', 'Salamanca', 'Amsterdam', 'Ann Arbor']","['Spain', 'Spain', 'Spain', 'Spain', 'USA', 'Spain', 'Spain', 'The Netherlands', 'USA']","['science and technology of learning', 'software', 'computing milieux']","['general', 'software engineering', 'computers and education', 'methodology/tools/technology', 'learning']","['innovation ', 'adaption/adaptive elearning ', 'interoperability', 'technology enhanced learning ', 'online education ', 'elearning systems/technology/tools/platforms  ', 'computer uses in education']"
018-01-0123,OER Development and Promotion.  Outcomes of an International Research Projecton the OpenCourseWare Model,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",Research Article,special,18.0,1.0,"['Edmundo Tovar', 'Nelson Piedra', 'Janneth Chicaiza', 'Jorge Lopez', 'Oscar Martinez-Bonastre']","['Universidad Politecnica de Madrid', 'Universidad Tecnica Particular de Loja', 'Universidad Tecnica Particular de Loja', 'Universidad Tecnica Particular de Loja', 'Miguel Hernandez University']","['Madrid', 'Loja', 'Loja', 'Loja', 'Elche']","['Spain', 'Ecuador', 'Ecuador', 'Ecuador', 'Spain']",['science and technology of learning'],"['society/community ', 'knowledge and media', 'methodology/tools/technology']","['learning networks ', 'semantic web', 'learning objects ', 'information retrieval and search ', 'elearning systems/technology/tools/platforms  ']"
018-02-0142,Managing Editor's Column,[],Editorial,regular,18.0,2.0,['Christian Gütl'],['Graz University of Technology'],['Graz'],['Austria'],[],[],[]
018-02-0143,Supporting End-User Development through a New Composition Model: An Empirical Study,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",Research Article,regular,18.0,2.0,"['David Lizcano', 'Fernando Alonso', 'Javier Soriano', 'Genoveva López']","['Universidad Politécnica de Madrid', 'Universidad Politécnica de Madrid', 'Universidad Politécnica de Madrid', 'Universidad Politécnica de Madrid']","['Madrid', 'Madrid', 'Madrid', 'Madrid']","['Spain', 'Spain', 'Spain', 'Spain']","['information systems', 'computer systems organization', 'software']","['software engineering', 'programming languages', 'computer-communication networks', 'information systems applications', 'programming techniques', 'information interfaces and presentation (e.g., hci)']","['miscellaneous ', 'visual programming', 'user interfaces', 'design tools and techniques', 'distributed systems']"
