,From which University or Institute did you create a spinout?,Uni Location,Year Founded,Department Name,Product Type,Spinout Location,Was your spinout clearly founded on IP that you developed at University?,Did your spinout have hired-in leadership in addition to founders?,Equity: What % of your company did your University/TTO own upon founding and before any investment was raised?,"Equity: Does the equity dilute alongside you or is it protected until you raise $Xm of external capital (i.e. ""golden share"")?",Royalties: What % of net sales does your University/TTO receive?,Upfront payments: Did you pay any to your University/TTO?,Milestone payments: What is the aggregate sum of milestones payable to your University/TTO?,Exit fees: What % of exit proceeds are due to your University/TTO?,Did your University/TTO require a board seat in your spinout?,How many months did your deal take to complete from start to finish?,How much $USD did you raise in connection with your spinout deal?,How much $USD did you raise in your first financing round after you spun out?,How much $USD has your spinout raised in total to date?,What stage is your spinout today?,"Based on your experience, how would you rate the spinout process?",Have you donated money to the University from which you spun out?,Do you intend to become a significant donor if your spinout is successful?
0,Boston Children's Hospital,USA,2021,Clinical Medicine,Therapeutic,"Boston, MA, USA",no value,No,4%,no value,3%,"$5,000",$0,0%,No,2,"3,500,000","$4,000,000","$5,000,000",Seed,7,No,No
1,Columbia University,USA,2016,Clinical Medicine,Therapeutic,USA,Yes,No,0%,Protected,5%,"$1,000","$11,000,000",0%,No,13,"$1,000,000","$1,000,000","$1,000,000",M&A exit,4,No,Yes
2,Stanford,USA,2020,Chemical Engineering,Hardware,"San Francisco, CA, USA",Yes,No,6%,no value,5%,"$30,000","$170,000",0%,No,6,"$500,000","$500,000","$900,000",Seed,7,No,Yes
3,Université de Montréal,USA,2020,Biology,Therapeutic,"Montréal, Canada",Yes,No,0%,Dilutes,5%,$0,$0,5%,No,14,"$500,000",$0,"$500,000",Pre-funding,1,No,Yes
4,Harvard University,USA,2015,Physics,Software,"Toronto, Canada",Yes,No,7%,no value,0%,"$222,000",$0,0%,No,3,"$100,000","$1,100,000","$22,000,000",Series A,2,No,No
5,MIT,USA,2014,Engineering,Software,"Boston, MA, USA",Yes,Yes,20%,no value,0%,"$100,000","$10,000,000",0%,No,6,"$100,000","$300,000","$150,000",Series A,6,No,Yes
6,Stony Brook University,USA,2017,Physics,Hardware,"NYC, NY, USA",Yes,Yes,20%,Protected. 10% Forever,5%,"$50,000","$3,000,000",5%,Yes,24,$0,"$800,000","$12,000,000",Series A,3,No,No
7,Harvard University,USA,2021,Biology,Materials,"Boston, MA, USA",Yes,No,5%,Protected. 5% up to $40M,1%,"$10,000","$14,000,000",0%,No,12,$0,"$4,000,000","$4,000,000",Seed,0,No,No
8,Harvard University,USA,2019,Biology,Therapeutic,"Cambridge, MA, USA",No,No,2%,no value,0%,$0,"$12,800",0%,No,12,$0,"$2,000,000","$2,500,000",Series A,1,No,Yes
9,Stony Brook University,USA,2017,Physics,Hardware,"NYC, NY, USA",Yes,No,22%,no value,0%,"$100,000","$1,000,000",10%,Yes,12,$0,"$1,000,000","$1,500,000",Seed,3,"$600,000",No
